Time,50mg,100mg,200mg,300mg,400mg,600mg,800mg
0,0,0,0,0,0,0,0
0.25,8.36304573,24.61853204,48.91352304,65.13959652,73.23792685,81.35586573,73.24773113
0.5,105.8371379,89.630673,227,284.2160993,316.658442,422.0641919,576.1187494
1,227.8023066,349.4243257,665.6415754,949.4360908,1289.96794,1468.356706,2149.440013
1.5,179.4966486,365.9837445,714.6335326,1233.554147,1476.788381,1801.12357,2660.585838
2,131.1811863,301.452013,552.8041858,1014.958054,1266.320031,1833.889454,2563.621568
2.5,99.08199314,212.5958776,423.4073774,804.4897039,982.8686652,1590.978761,2304.494606
3,66.99260431,148.0739504,277.8041041,577.8050845,748.0759112,1323.753468,1761.592737
4,43.32508685,75.76742955,132.5243718,294.6870639,391.9944835,691.9856596,1000.104579
6,12.26514679,20.36347712,36.57974633,85.22855397,93.34649285,385.2295344,279.8237845
9,6.1864969,30,30,30.50109644,79.14990408,46.71736566,54.82550026
12,0,0,0,0,0,0,0
